Timestamp,Temperature(C),Humidity(%)
2025-10-07 18:41:08,21,59
2025-10-07 18:41:10,21,59
2025-10-07 18:41:12,21,59
2025-10-07 18:41:14,21,59
2025-10-07 18:41:16,21,59
2025-10-07 18:41:18,21,59
2025-10-07 18:41:20,21,59
2025-10-07 18:41:22,21,59
2025-10-07 18:41:24,21,59
2025-10-07 18:41:26,21,59
2025-10-07 18:41:28,21,59
2025-10-07 18:41:30,21,59
2025-10-07 18:41:32,21,59
2025-10-07 18:41:34,21,59
2025-10-07 18:41:36,21,59
2025-10-07 18:41:38,21,59
2025-10-07 18:41:41,21,59
2025-10-07 18:41:43,21,59
2025-10-07 18:41:45,21,59
2025-10-07 18:41:47,21,59
2025-10-07 18:41:49,21,59
2025-10-07 18:41:51,21,59
2025-10-07 18:41:53,21,59
2025-10-07 18:41:55,21,59
2025-10-07 18:41:57,21,59
2025-10-07 18:41:59,21,59
2025-10-07 18:42:01,21,59
2025-10-07 18:42:03,21,59
2025-10-07 18:42:05,21,59
2025-10-07 18:42:07,21,59
2025-10-07 18:42:09,21,59
2025-10-07 18:42:11,21,59
2025-10-07 18:42:13,21,59
2025-10-07 18:42:15,21,59
2025-10-07 18:42:17,21,59
2025-10-07 18:42:19,21,59
2025-10-07 18:42:21,21,59
2025-10-07 18:42:24,21,59
2025-10-07 18:42:26,21,59
2025-10-07 18:42:28,21,59
2025-10-07 18:42:30,21,59
2025-10-07 18:42:32,21,59
2025-10-07 18:42:34,21,59
2025-10-07 18:42:36,21,59
2025-10-07 18:42:38,21,59
2025-10-07 18:42:40,21,59
2025-10-07 18:42:42,21,59
2025-10-07 18:42:44,21,59
2025-10-07 18:42:46,21,59
2025-10-07 18:42:48,21,59
2025-10-07 18:42:50,21,59
2025-10-07 18:42:52,21,59
2025-10-07 18:42:54,21,59
2025-10-07 18:42:56,21,59
2025-10-07 18:42:58,21,59
2025-10-07 18:43:00,21,59
2025-10-07 18:43:02,21,59
2025-10-07 18:43:04,21,59
2025-10-07 18:43:06,21,59
2025-10-07 18:43:09,21,59
2025-10-07 18:43:11,21,59
2025-10-07 18:43:13,21,59
2025-10-07 18:43:15,21,59
2025-10-07 18:43:17,21,59
2025-10-07 18:43:19,21,59
2025-10-07 18:43:21,21,59
2025-10-07 18:43:23,21,59
2025-10-07 18:43:25,21,59
2025-10-07 18:43:27,21,59
2025-10-07 18:43:29,21,59
2025-10-07 18:43:31,21,59
2025-10-07 18:43:33,21,59
2025-10-07 18:43:35,21,59
2025-10-07 18:43:37,21,59
2025-10-07 18:43:39,21,59
2025-10-07 18:43:41,21,59
2025-10-07 18:43:43,21,59
2025-10-07 18:43:45,21,59
2025-10-07 18:43:47,21,59
2025-10-07 18:43:49,21,59
2025-10-07 18:43:52,21,59
2025-10-07 18:43:54,21,59
2025-10-07 18:43:56,21,59
2025-10-07 18:43:58,21,59
2025-10-07 18:44:00,21,59
2025-10-07 18:44:02,21,59
2025-10-07 18:44:04,21,59
2025-10-07 18:44:06,21,59
2025-10-07 18:44:08,21,59
2025-10-07 18:44:10,21,59
2025-10-07 18:44:12,21,59
2025-10-07 18:44:14,21,59
2025-10-07 18:44:16,21,59
2025-10-07 18:44:18,21,59
2025-10-07 18:44:20,21,59
2025-10-07 18:44:22,21,59
2025-10-07 18:44:24,21,59
2025-10-07 18:44:26,21,59
2025-10-07 18:44:28,21,59
2025-10-07 18:44:30,21,59
2025-10-07 18:44:32,21,59
2025-10-07 18:44:35,21,59
2025-10-07 18:44:37,21,59
2025-10-07 18:44:39,21,59
2025-10-07 18:44:41,21,59
2025-10-07 18:44:43,21,59
2025-10-07 18:44:45,21,59
2025-10-07 18:44:47,21,59
2025-10-07 18:44:49,21,59
2025-10-07 18:44:51,21,59
2025-10-07 18:44:53,21,59
2025-10-07 18:44:55,21,59
2025-10-07 18:44:57,21,59
2025-10-07 18:44:59,21,59
2025-10-07 18:45:01,21,59
2025-10-07 18:45:03,21,59
2025-10-07 18:45:05,21,59
2025-10-07 18:45:07,21,59
2025-10-07 18:45:09,21,59
2025-10-07 18:45:11,21,59
2025-10-07 18:45:13,21,59
2025-10-07 18:45:15,21,59
2025-10-07 18:45:18,21,59
2025-10-07 18:45:20,21,59
2025-10-07 18:45:22,21,59
2025-10-07 18:45:24,21,59
2025-10-07 18:45:26,21,59
2025-10-07 18:45:28,21,59
2025-10-07 18:45:30,21,59
2025-10-07 18:45:32,21,59
2025-10-07 18:45:34,21,59
2025-10-07 18:45:36,21,59
2025-10-07 18:45:38,21,59
2025-10-07 18:45:40,21,59
2025-10-07 18:45:42,21,59
2025-10-07 18:45:44,21,59
2025-10-07 18:45:46,21,59
2025-10-07 18:45:48,21,59
2025-10-07 18:45:50,21,59
2025-10-07 18:45:52,21,59
2025-10-07 18:45:54,21,59
2025-10-07 18:45:56,21,59
2025-10-07 18:45:58,21,59
2025-10-07 18:46:01,21,59
2025-10-07 18:46:03,21,59
2025-10-07 18:46:05,21,59
2025-10-07 18:46:07,21,59
2025-10-07 18:46:09,21,59
2025-10-07 18:46:11,21,59
2025-10-07 18:46:13,21,59
2025-10-07 18:46:15,21,59
2025-10-07 18:46:17,21,59
2025-10-07 18:46:19,21,59
2025-10-07 18:46:21,21,59
2025-10-07 18:46:23,21,59
2025-10-07 18:46:25,21,59
2025-10-07 18:46:27,21,59
2025-10-07 18:46:29,21,59
2025-10-07 18:46:31,21,59
2025-10-07 18:46:33,21,59
2025-10-07 18:46:35,21,59
2025-10-07 18:46:37,21,59
2025-10-07 18:46:39,21,59
2025-10-07 18:46:41,21,59
2025-10-07 18:46:44,21,59
2025-10-07 18:46:46,21,59
2025-10-07 18:46:48,21,59
2025-10-07 18:46:50,21,59
2025-10-07 18:46:52,21,59
2025-10-07 18:46:54,21,59
2025-10-07 18:46:56,21,59
2025-10-07 18:46:58,21,59
2025-10-07 18:47:00,21,59
2025-10-07 18:47:02,21,59
2025-10-07 18:47:04,21,59
2025-10-07 18:47:06,21,59
2025-10-07 18:47:08,21,59
2025-10-07 18:47:10,21,59
2025-10-07 18:47:12,21,59
2025-10-07 18:47:14,21,59
2025-10-07 18:47:16,21,59
2025-10-07 18:47:18,21,59
2025-10-07 18:47:20,21,59
2025-10-07 18:47:22,21,59
2025-10-07 18:47:24,21,59
2025-10-07 18:47:27,21,59
2025-10-07 18:47:29,21,59
2025-10-07 18:47:31,21,59
2025-10-07 18:47:33,21,59
2025-10-07 18:47:35,21,59
